CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed,Skill_Score,Activity_Score,Academic_Strength
8.06,4,ECE,85.89,85.75,84.01,6,5,3,5,1304,2,2,1,70.62522222222222,70.13333333333333,6.86
5.7,3,CIVIL,81.69,85.09,44.61,1,2,1,2,1801,2,2,0,33.794111111111114,68.69999999999999,4.800000000000001
6.46,1,IT,87.1,93.32,81.72,4,2,3,5,1332,1,0,1,57.849333333333334,54.400000000000006,6.16
6.83,0,ECE,98.18,99.54,68.35,0,2,3,1,1014,1,1,1,48.1161111111111,24.8,6.83
7.28,2,CSE,85.9,84.14,59.71,6,0,1,1,1204,3,1,1,46.435222222222215,44.46666666666667,6.680000000000001
8.93,5,IT,81.47,80.54,60.33,0,1,1,4,999,0,0,1,34.16566666666667,30.633333333333333,7.43
6.0,1,CIVIL,99.28,98.52,73.96,4,5,0,3,1554,2,0,0,48.87688888888888,56.46666666666667,5.7
7.57,2,ECE,83.5,92.82,90.57,3,2,3,5,1611,1,0,1,62.43766666666666,63.7,6.970000000000001
7.96,3,CYBER,72.07,64.65,56.65,5,5,3,2,1666,3,2,1,56.806111111111115,70.86666666666666,7.0600000000000005
5.23,4,AIDS,86.87,78.02,31.0,4,2,1,0,800,3,1,0,34.411111111111104,25.0,4.03
8.04,1,MECH,84.47,75.95,81.57,0,5,2,1,908,3,0,1,49.148777777777774,29.600000000000005,7.739999999999999
5.85,1,CYBER,76.92,72.45,27.79,1,3,1,1,969,2,1,1,27.092555555555553,29.96666666666667,5.55
5.33,3,IT,74.82,78.32,28.02,3,5,0,5,1285,2,2,0,36.328222222222216,69.5,4.43
9.74,5,ECE,77.02,80.82,54.97,4,1,2,0,1482,2,2,1,43.63544444444444,46.06666666666667,8.24
9.83,0,CYBER,74.68,71.64,68.33,6,3,2,3,1314,0,0,1,59.754555555555555,35.13333333333333,9.83
9.04,4,ECE,77.34,77.2,45.98,2,3,2,3,1374,2,0,0,41.8051111111111,50.46666666666667,7.839999999999999
6.52,1,MECH,71.57,65.99,21.34,4,2,0,3,1461,3,0,0,28.49088888888889,60.03333333333334,6.22
5.49,4,CSE,83.86,78.74,32.23,3,4,3,4,825,2,0,0,42.169000000000004,38.166666666666664,4.29
8.42,1,MECH,83.11,86.01,82.46,1,1,1,4,1752,0,1,1,46.338,60.73333333333334,8.12
7.2,4,AIDS,83.45,88.69,38.07,5,3,0,5,1540,0,0,0,34.19877777777778,54.666666666666664,6.0
5.61,2,AIDS,79.38,76.99,48.75,6,4,0,0,978,3,1,1,46.88055555555555,30.933333333333334,5.010000000000001
7.48,1,CYBER,78.22,86.4,99.88,5,4,2,5,1115,1,2,1,71.83066666666666,57.166666666666664,7.180000000000001
5.17,4,CYBER,94.42,99.25,52.38,3,3,2,2,1389,2,2,0,42.25844444444444,54.96666666666666,3.9699999999999998
9.55,0,MECH,80.67,88.63,82.08,2,2,0,0,1908,2,1,1,41.86844444444444,55.26666666666667,9.55
6.29,2,MECH,92.64,91.13,40.05,5,0,3,2,847,0,1,0,44.237222222222215,18.566666666666663,5.69
8.31,2,CSE,70.04,77.64,100.0,5,3,2,0,1976,0,0,1,62.16666666666666,39.2,7.710000000000001
6.56,0,ECE,85.89,96.79,49.47,1,2,0,4,859,1,0,1,35.02988888888889,32.63333333333333,6.56
7.6,4,ECE,72.65,70.59,60.94,1,1,2,3,1139,0,0,0,38.47088888888889,29.299999999999997,6.3999999999999995
7.73,3,AIML,74.44,73.67,92.51,6,2,1,1,1024,0,2,1,59.49744444444445,23.466666666666665,6.83
5.92,0,ECE,75.88,71.14,53.49,5,4,1,0,1297,0,1,1,48.43588888888889,21.566666666666666,5.92
9.85,4,MECH,75.25,69.53,77.7,3,1,1,0,1329,0,1,1,44.77666666666667,22.633333333333333,8.65
8.88,0,MECH,75.3,69.64,66.24,6,1,2,1,1246,1,1,1,52.016444444444446,32.53333333333333,8.88
9.7,0,CIVIL,92.17,88.12,70.49,4,0,2,0,1064,2,1,1,48.8581111111111,27.133333333333333,9.7
9.47,1,CYBER,80.45,81.83,82.28,3,0,3,3,1183,2,0,1,51.050666666666665,44.099999999999994,9.17
7.99,4,IT,82.25,78.4,78.51,1,3,1,5,1273,2,0,0,42.61966666666667,59.099999999999994,6.79
9.61,3,MECH,75.43,76.65,62.68,1,2,3,1,1135,2,1,0,46.11511111111112,35.50000000000001,8.709999999999999
5.44,1,AIDS,88.57,89.89,39.39,1,3,0,1,1084,2,0,1,29.650333333333336,28.800000000000004,5.140000000000001
5.98,0,ECE,83.55,81.2,45.22,0,0,0,3,800,3,2,1,27.25488888888889,48.0,5.98
5.23,5,IT,76.91,76.6,25.61,6,4,1,3,800,3,0,1,49.571888888888886,38.0,3.7300000000000004
6.63,0,CIVIL,64.16,61.52,28.82,6,0,3,1,1148,0,2,1,41.657111111111114,27.6,6.63
6.94,0,AIDS,82.16,80.61,68.16,6,2,2,3,1355,3,2,1,53.03688888888889,66.49999999999999,6.94
6.36,4,CSE,85.76,81.71,78.06,3,4,3,5,1361,2,1,1,57.39577777777778,67.03333333333333,5.16
9.14,4,CYBER,70.21,70.63,90.64,2,3,0,3,1512,0,1,1,49.46977777777778,46.733333333333334,7.94
6.78,1,AIDS,77.05,74.04,13.78,1,3,3,5,833,2,0,1,33.678444444444445,44.43333333333334,6.48
6.4,3,ECE,85.37,79.54,54.62,3,0,0,3,1068,2,1,0,33.763777777777776,45.26666666666666,5.5
7.71,1,AIML,64.29,67.26,44.03,1,0,0,1,977,0,2,1,22.942333333333334,21.9,7.41
5.7,2,CYBER,73.51,76.65,58.9,3,5,3,0,800,2,2,0,51.858888888888885,23.333333333333332,5.1000000000000005
9.01,0,CYBER,83.77,89.33,64.2,2,3,2,2,1393,3,0,1,49.75999999999999,51.76666666666667,9.01
5.37,5,CYBER,91.05,85.93,66.2,4,3,0,1,1467,0,2,1,40.76,38.23333333333333,3.87
9.93,0,CSE,100.0,97.6,76.79,1,1,3,2,1564,1,1,1,43.21477777777778,49.13333333333333,9.93
8.86,0,IT,99.59,100.0,33.89,5,2,0,3,976,1,0,0,39.65588888888889,30.533333333333335,8.86
5.99,1,ECE,81.44,78.93,38.13,0,1,1,3,875,1,0,1,24.00566666666667,27.166666666666668,5.69
5.03,5,IT,75.16,78.01,52.75,1,1,2,0,1023,2,0,0,37.88055555555555,20.766666666666666,3.5300000000000002
9.08,5,ECE,89.23,91.72,74.69,1,3,1,3,1119,2,1,0,49.873666666666665,46.96666666666666,7.58
8.53,5,AIDS,74.56,76.96,42.06,2,5,0,2,800,2,2,1,38.04022222222222,35.33333333333333,7.029999999999999
8.65,1,AIDS,72.38,79.68,40.0,5,2,2,1,1189,2,1,1,41.7,37.3,8.35
8.86,0,CIVIL,76.95,80.17,72.91,6,3,3,1,1518,0,0,1,61.11744444444444,29.933333333333334,8.86
5.37,1,AIDS,75.69,76.46,26.28,4,1,3,5,1096,1,2,1,39.91733333333334,56.53333333333334,5.07
6.79,4,CYBER,84.13,83.16,28.09,1,1,2,0,1047,3,0,0,30.949222222222218,28.233333333333334,5.59
5.58,4,ECE,73.98,73.36,46.49,5,3,1,2,944,0,1,0,44.724777777777774,21.799999999999997,4.38
9.32,1,IT,80.85,75.53,64.31,0,0,1,3,1450,1,0,1,38.493,46.33333333333333,9.02
8.12,5,MECH,95.95,87.12,50.51,6,0,2,4,1126,1,1,1,45.14188888888888,46.53333333333333,6.619999999999999
6.65,0,CYBER,81.22,83.54,46.7,5,3,3,0,800,0,0,1,50.36555555555555,0.0,6.65
5.32,1,ECE,95.17,100.0,54.37,3,4,2,0,1569,0,0,1,50.53322222222222,25.633333333333336,5.0200000000000005
6.55,1,CIVIL,92.02,90.37,45.87,5,4,1,4,1323,0,0,1,49.10544444444444,41.43333333333333,6.25
6.63,1,CSE,85.92,93.86,62.04,0,0,0,1,1707,3,1,1,28.72311111111111,61.23333333333334,6.33
8.65,2,CYBER,76.46,75.58,63.13,6,2,3,5,1564,1,1,1,53.30566666666666,67.13333333333334,8.05
8.19,4,AIDS,90.41,80.64,71.79,2,5,2,1,1072,3,1,1,51.37033333333334,40.06666666666667,6.989999999999999
9.44,5,CYBER,77.5,82.09,92.24,6,1,0,1,1276,3,1,1,59.21644444444444,46.86666666666667,7.9399999999999995
7.36,3,AIML,79.98,77.58,81.09,2,2,1,4,1609,3,1,0,44.593666666666664,75.96666666666667,6.460000000000001
5.6,5,AIDS,83.3,88.35,81.25,5,0,3,3,954,3,2,0,56.519444444444446,53.13333333333333,4.1
8.57,3,AIML,79.95,73.56,87.09,4,3,2,3,1832,3,0,1,54.47144444444444,72.39999999999999,7.67
8.8,2,AIML,72.8,74.86,76.29,3,4,1,5,1380,0,1,1,49.49811111111111,54.333333333333336,8.200000000000001
7.81,1,AIDS,64.73,60.73,57.86,6,0,2,5,1438,3,2,1,50.846888888888884,81.26666666666665,7.51
8.85,2,CIVIL,89.59,90.6,64.02,0,2,2,2,1317,2,2,1,43.87266666666666,52.56666666666666,8.25
7.47,2,CSE,85.7,89.54,47.29,5,2,3,2,1152,0,0,1,51.88699999999999,23.733333333333334,6.87
7.61,0,ECE,62.79,65.47,65.66,5,5,1,1,1141,1,0,1,60.69799999999999,24.033333333333335,7.61
7.14,4,MECH,72.53,72.88,77.14,1,0,1,4,1242,1,0,0,39.16422222222222,45.4,5.9399999999999995
5.13,3,IT,81.79,74.9,38.62,6,1,0,5,800,0,1,1,41.263777777777776,35.0,4.23
5.54,1,IT,84.43,88.08,54.45,1,2,1,0,1341,3,0,1,39.235,38.03333333333334,5.24
5.16,3,AIML,64.82,69.97,39.74,4,1,1,3,1752,0,0,1,42.49977777777777,49.733333333333334,4.26
8.18,5,AIDS,79.11,73.89,72.6,6,1,3,4,1014,1,0,1,58.50222222222222,37.8,6.68
6.57,3,AIDS,85.4,80.92,49.37,3,3,0,5,800,1,2,1,43.24433333333334,46.666666666666664,5.67
7.54,5,ECE,76.48,81.85,50.42,0,0,3,2,1623,0,1,0,30.49266666666667,44.43333333333333,6.04
9.54,4,CSE,82.56,81.52,61.59,1,0,1,5,1321,2,0,1,38.85477777777778,60.699999999999996,8.34
6.25,5,CSE,75.12,70.77,68.8,0,1,0,3,1515,2,2,0,34.617777777777775,65.16666666666666,4.75
7.05,3,IT,89.09,90.45,60.82,4,3,3,5,1355,2,1,0,51.245999999999995,66.83333333333333,6.15
8.78,3,CSE,72.01,68.81,62.82,4,2,0,3,936,1,0,0,41.16822222222222,29.2,7.879999999999999
6.14,5,CSE,68.58,69.38,63.45,5,2,1,4,1490,2,2,1,47.65722222222222,70.33333333333333,4.64
5.38,2,AIML,80.29,78.22,46.13,3,0,0,5,983,2,1,1,30.90566666666667,54.43333333333334,4.78
6.45,4,CYBER,65.66,64.03,82.27,0,1,0,5,1064,0,0,0,39.20322222222222,38.800000000000004,5.25
5.81,0,IT,60.0,65.55,37.05,0,3,0,2,1277,3,0,0,24.737222222222222,47.900000000000006,5.81
9.65,1,CSE,90.84,78.49,72.0,6,3,1,4,1312,3,2,1,51.300000000000004,71.06666666666666,9.35
9.04,3,MECH,70.16,72.93,44.61,4,2,1,0,1247,0,0,0,39.66077777777778,14.899999999999999,8.139999999999999
8.17,1,CSE,66.66,71.39,61.4,6,2,0,3,1320,3,2,0,43.87555555555556,65.33333333333333,7.87
9.36,0,AIML,71.88,68.77,40.69,3,4,3,4,1353,2,2,1,45.01811111111111,65.76666666666667,9.36
9.02,1,ECE,71.43,76.12,87.52,3,4,3,4,1727,1,2,1,56.03377777777777,71.56666666666666,8.719999999999999
5.93,0,ECE,78.58,73.78,72.49,1,1,1,0,1326,2,1,0,38.291444444444444,35.86666666666666,5.93
9.46,5,ECE,69.07,65.77,90.5,4,4,2,4,1786,0,2,1,59.67222222222222,66.86666666666666,7.960000000000001
7.7,2,CSE,84.98,81.11,66.56,2,3,3,3,1572,3,1,1,50.768,68.73333333333333,7.1000000000000005
9.04,3,CIVIL,86.46,91.22,55.09,4,4,0,1,1397,0,0,0,41.29366666666667,25.900000000000002,8.139999999999999
9.48,0,CYBER,67.25,60.0,58.9,4,0,2,1,1022,0,1,1,50.04777777777777,18.4,9.48
6.59,1,CIVIL,73.82,82.02,91.05,1,0,1,2,1649,2,2,0,44.73722222222222,63.63333333333333,6.29
5.55,3,CSE,74.77,73.24,83.96,6,5,3,0,1448,3,0,1,71.62133333333333,41.6,4.65
6.14,2,MECH,78.35,81.42,60.65,2,2,2,2,803,1,2,1,42.028333333333336,28.766666666666662,5.54
7.14,5,MECH,90.83,93.47,52.87,1,2,1,1,809,2,2,1,29.660999999999998,29.633333333333333,5.64
9.09,3,AIDS,91.4,92.16,100.0,1,1,1,0,1036,0,0,1,41.488888888888894,7.866666666666666,8.19
9.3,0,ECE,100.0,97.0,60.13,5,0,0,4,843,0,2,1,39.56122222222223,35.43333333333333,9.3
5.03,2,ECE,60.0,66.21,57.25,1,5,3,4,858,3,1,1,58.10833333333333,50.93333333333333,4.430000000000001
7.55,1,CIVIL,70.76,68.18,92.31,1,1,2,3,1612,0,0,1,52.004111111111115,45.06666666666666,7.25
7.09,2,CIVIL,98.14,94.48,46.21,0,1,0,5,1156,0,0,0,29.70744444444444,41.86666666666667,6.49
6.11,2,ECE,61.99,66.38,74.64,4,4,3,1,1538,2,0,1,54.43644444444444,43.93333333333334,5.510000000000001
5.6,4,ECE,97.91,98.64,65.91,5,2,2,4,894,3,2,0,56.00633333333334,57.13333333333333,4.3999999999999995
6.69,2,ECE,81.47,88.26,60.15,5,1,1,0,801,2,2,0,48.16722222222222,23.366666666666667,6.090000000000001
9.71,2,AIDS,81.84,81.53,56.2,0,1,1,5,922,1,0,1,32.693333333333335,40.733333333333334,9.110000000000001
6.62,3,ECE,67.2,63.95,46.09,2,2,3,5,1338,0,1,1,42.08255555555556,52.93333333333333,5.720000000000001
7.59,1,AIML,75.49,76.86,71.26,0,2,0,4,1481,2,2,1,29.578000000000003,70.03333333333333,7.29
8.52,3,MECH,97.47,95.24,41.61,5,0,2,2,1040,2,2,1,44.32744444444444,43.333333333333336,7.619999999999999
6.82,3,AIML,79.52,76.41,64.21,2,2,2,2,1318,3,2,0,43.1741111111111,59.266666666666666,5.92
9.86,0,AIDS,75.56,79.71,87.62,5,4,1,2,1186,0,1,1,60.85266666666668,29.86666666666667,9.86
9.81,3,ECE,84.06,93.21,96.27,3,0,3,5,1164,2,2,1,58.125444444444454,65.46666666666667,8.91
6.26,4,AIDS,78.08,76.85,30.83,2,5,0,2,1173,0,2,1,31.79344444444444,34.43333333333334,5.06
7.49,4,CSE,83.45,78.58,91.26,5,1,1,2,1555,1,1,0,50.578,48.83333333333333,6.29
6.5,0,AIML,71.5,70.74,93.93,0,4,1,5,1907,0,1,1,46.82344444444445,71.9,6.5
6.42,5,CIVIL,79.23,81.8,67.82,5,4,0,3,940,0,2,0,47.22377777777778,32.666666666666664,4.92
5.18,1,CSE,73.59,74.88,32.66,0,0,2,2,800,2,0,0,22.764666666666667,25.33333333333333,4.88
8.05,1,CIVIL,61.96,67.93,61.18,2,1,2,3,1057,3,0,1,38.63177777777778,46.56666666666667,7.750000000000001
7.51,3,AIML,84.82,88.15,64.12,0,0,3,3,1405,3,1,0,37.013777777777776,63.16666666666667,6.609999999999999
5.26,3,CSE,67.66,62.15,59.2,2,3,1,4,1798,3,2,1,39.09333333333333,87.26666666666667,4.359999999999999
6.39,5,MECH,78.35,75.89,59.91,1,3,3,5,1242,1,1,0,45.41744444444444,56.400000000000006,4.89
9.54,3,CYBER,89.26,82.36,80.83,5,0,2,0,1046,1,1,0,50.26011111111111,19.866666666666667,8.639999999999999
6.2,1,AIDS,65.02,70.75,56.67,6,1,0,2,842,2,0,0,44.501000000000005,26.73333333333333,5.9
5.72,2,ECE,86.05,76.09,61.42,2,1,2,0,1032,3,1,1,42.28155555555555,32.733333333333334,5.12
7.45,4,IT,77.0,70.59,55.53,6,2,2,1,1246,1,1,1,46.370111111111115,32.53333333333333,6.25
9.93,2,CSE,70.33,67.78,70.38,6,4,1,3,1466,3,2,1,64.24733333333333,70.2,9.33
6.21,2,MECH,100.0,100.0,47.03,1,0,2,1,1201,3,2,1,34.94233333333333,49.36666666666667,5.61
8.36,1,ECE,79.99,77.39,100.0,1,4,3,3,1184,1,1,1,56.87777777777778,42.46666666666666,8.059999999999999
8.81,2,AIML,74.32,72.49,100.0,1,4,0,2,1008,3,1,1,48.66666666666667,43.93333333333334,8.21
6.19,5,CSE,72.2,70.47,69.55,6,3,1,1,1444,0,2,1,52.665000000000006,37.46666666666667,4.69
8.64,0,CIVIL,88.81,89.68,97.21,1,3,0,5,1221,2,0,1,50.729666666666674,57.36666666666667,8.64
6.84,3,CSE,73.88,67.78,77.66,2,5,3,4,1148,1,2,1,57.32022222222221,52.26666666666666,5.9399999999999995
8.16,0,CSE,87.57,82.83,71.93,6,0,3,1,955,1,2,1,55.601222222222226,27.833333333333332,8.16
8.17,4,ECE,79.98,88.38,38.23,6,5,2,3,800,3,2,0,52.85788888888888,48.0,6.97
7.68,3,ECE,91.16,93.17,60.65,0,0,3,5,1697,1,2,1,36.51722222222222,76.56666666666666,6.779999999999999
5.45,2,CIVIL,69.57,73.38,48.06,1,1,2,3,943,0,2,0,31.65133333333333,32.766666666666666,4.8500000000000005
9.18,4,AIML,70.97,71.26,50.72,3,0,1,0,800,3,0,0,32.03822222222222,20.0,7.9799999999999995
6.6,3,CIVIL,77.19,76.49,30.8,1,1,0,1,1103,0,2,0,22.606666666666662,26.1,5.699999999999999
5.93,5,AIML,78.02,80.3,67.02,0,1,2,4,1191,2,2,1,36.705999999999996,60.36666666666666,4.43
5.2,5,AIDS,76.45,80.09,60.01,0,0,2,2,800,2,0,0,32.291888888888884,25.33333333333333,3.7
7.95,5,MECH,100.0,100.0,43.92,4,1,1,0,1462,0,1,0,42.66488888888888,27.066666666666666,6.45
8.39,5,AIDS,100.0,99.37,54.52,4,4,3,1,1371,3,0,1,50.344888888888896,45.03333333333334,6.890000000000001
5.08,2,CIVIL,82.99,87.77,76.14,6,1,2,0,1533,2,2,0,61.13088888888889,47.766666666666666,4.48
7.56,0,CSE,84.17,71.84,47.75,1,4,3,1,1219,3,1,1,46.802777777777784,44.96666666666667,7.56
6.13,3,CYBER,77.64,82.1,61.58,1,4,2,2,817,3,0,0,45.36288888888889,32.56666666666666,5.23
8.23,2,CSE,69.5,67.37,64.83,5,4,3,2,1205,2,1,1,56.48233333333334,43.83333333333333,7.630000000000001
5.87,5,MECH,78.18,80.95,66.99,6,2,2,4,1091,2,0,1,50.81922222222223,47.033333333333324,4.37
8.45,0,CYBER,87.71,84.46,52.65,5,5,0,0,968,0,0,1,48.56166666666666,5.6000000000000005,8.45
6.93,4,CSE,93.06,86.42,63.97,4,2,0,4,1711,3,1,1,40.57988888888888,79.36666666666667,5.7299999999999995
9.68,4,IT,89.96,91.66,79.29,1,1,0,1,999,0,1,1,35.287,17.633333333333333,8.48
5.69,4,AIML,64.9,60.0,60.54,5,5,2,2,1064,1,1,0,55.02866666666666,32.46666666666667,4.49
6.71,5,CIVIL,77.11,75.11,62.61,3,5,3,2,1224,1,1,0,58.57188888888889,37.8,5.21
5.57,4,IT,65.31,61.25,62.23,2,5,1,3,1329,1,2,0,44.157888888888884,52.300000000000004,4.37
9.62,1,CIVIL,91.69,90.81,100.0,5,0,1,3,1908,1,0,1,51.66666666666667,61.6,9.319999999999999
9.39,3,MECH,75.88,79.86,100.0,5,1,1,4,1351,2,2,1,53.04444444444445,65.69999999999999,8.49
6.29,3,MECH,79.53,77.08,46.16,0,2,0,0,1218,2,0,0,28.892444444444443,27.266666666666666,5.390000000000001
8.3,5,AIML,84.8,86.37,22.63,1,5,0,1,800,0,2,0,34.689,16.0,6.800000000000001
9.09,1,CIVIL,100.0,100.0,84.84,4,5,0,4,1497,2,2,0,56.02977777777778,70.56666666666666,8.79
7.78,2,ECE,82.68,79.65,70.11,4,3,3,2,1831,2,0,1,53.410777777777774,59.699999999999996,7.180000000000001
7.65,2,AIDS,77.62,74.65,86.96,5,5,0,2,1207,2,2,1,57.92133333333332,48.9,7.050000000000001
6.21,4,AIDS,67.59,74.44,64.24,3,5,3,2,1462,1,1,1,59.06088888888888,45.733333333333334,5.01
5.47,0,CSE,94.59,94.19,56.0,6,3,3,1,800,0,1,1,61.17777777777776,11.0,5.47
9.49,2,IT,78.18,80.73,97.51,1,1,3,4,1284,3,2,1,55.030777777777786,70.13333333333333,8.89
9.5,0,IT,96.57,99.08,100.0,2,2,2,1,1312,3,2,1,49.32222222222222,53.06666666666667,9.5
8.17,3,CIVIL,91.06,85.07,40.6,4,4,1,5,1209,3,0,0,45.413333333333334,63.63333333333334,7.27
6.7,0,CIVIL,75.37,71.57,44.64,2,2,3,2,1081,1,0,1,41.492,28.03333333333333,6.7
6.75,3,CIVIL,66.08,67.95,59.12,0,1,1,3,1534,2,2,1,25.791555555555558,65.8,5.85
8.63,1,AIML,82.73,72.39,72.62,4,2,3,4,1109,2,0,1,55.66377777777778,47.633333333333326,8.33
9.49,1,CYBER,73.85,72.79,70.41,5,3,3,3,1471,3,1,1,58.41188888888888,65.36666666666667,9.19
9.44,5,CSE,80.39,76.07,83.36,4,5,0,4,1365,3,1,0,55.66355555555555,67.83333333333334,7.9399999999999995
8.9,5,IT,90.49,96.04,91.92,2,5,1,2,1036,0,1,0,62.00933333333333,24.866666666666664,7.4
8.21,4,ECE,63.46,65.19,100.0,1,4,3,3,1000,1,0,0,56.72222222222223,31.33333333333333,7.010000000000001
5.42,2,ECE,82.65,88.6,66.18,0,1,1,3,1275,2,0,1,32.654,47.16666666666667,4.82
5.81,4,CIVIL,87.6,87.4,39.49,6,5,0,4,892,3,0,0,55.12477777777778,47.06666666666667,4.609999999999999
9.49,3,AIDS,88.08,87.51,72.02,0,1,3,5,1343,3,0,1,42.23933333333333,68.10000000000001,8.59
8.03,4,IT,66.36,64.84,66.15,5,0,0,5,853,0,2,1,44.01166666666666,41.766666666666666,6.829999999999999
5.05,0,MECH,84.19,81.68,63.02,4,4,3,3,1375,2,2,1,56.394888888888886,60.5,5.05
5.51,3,CYBER,92.04,100.0,62.8,2,1,0,3,1685,2,2,1,39.45111111111111,70.83333333333334,4.609999999999999
8.32,5,ECE,83.43,87.47,100.0,2,2,0,2,1328,0,2,1,47.94444444444444,39.6,6.82
5.03,1,CSE,78.84,73.51,43.4,0,2,2,4,800,0,1,1,29.75333333333333,28.999999999999996,4.73
5.8,5,ECE,91.4,100.0,64.22,2,2,3,4,1204,2,0,0,50.47711111111111,50.8,4.3
7.74,2,CSE,73.06,71.03,100.0,4,2,3,0,1186,0,1,1,59.2111111111111,17.86666666666667,7.140000000000001
8.46,3,AIML,64.7,66.31,58.09,0,1,3,4,906,3,0,0,39.14922222222222,47.53333333333333,7.5600000000000005
8.26,3,CSE,77.99,82.69,71.7,0,3,1,2,1196,2,2,1,38.776666666666664,48.53333333333333,7.359999999999999
6.12,0,ECE,85.35,77.66,39.21,6,4,2,3,1395,1,1,1,48.663,49.5,6.12
8.56,2,MECH,90.39,86.25,71.95,2,2,1,0,1087,2,0,1,46.51833333333333,22.900000000000002,7.960000000000001
6.19,1,AIML,85.31,93.55,42.83,1,1,3,3,1323,0,2,1,39.01566666666667,45.43333333333334,5.890000000000001
6.63,3,CSE,88.36,87.23,81.57,2,5,2,4,1243,1,0,0,61.071,45.43333333333333,5.73
8.73,3,CSE,90.45,95.45,74.11,3,5,0,1,1243,3,0,0,46.733000000000004,40.766666666666666,7.83
8.25,0,CSE,76.61,74.34,50.03,5,1,2,3,1478,3,2,1,43.953444444444436,70.6,8.25
9.25,4,CSE,78.52,78.05,90.54,5,2,0,5,1269,3,1,1,48.95088888888889,70.63333333333334,8.05
8.29,1,IT,92.87,100.0,72.53,2,0,3,4,1492,0,0,1,50.681222222222225,47.06666666666667,7.989999999999999
7.84,5,CIVIL,67.9,70.09,85.76,0,1,3,5,1261,2,2,0,43.25022222222222,68.69999999999999,6.34
5.47,2,IT,84.29,82.57,31.89,3,4,0,2,1227,0,0,1,32.92255555555556,26.23333333333333,4.87
6.84,3,CSE,72.83,69.42,69.07,5,4,2,5,1166,2,0,1,55.120999999999995,55.53333333333333,5.9399999999999995
6.33,3,AIDS,91.0,88.04,74.6,5,0,1,4,1324,0,0,0,52.52444444444444,41.46666666666666,5.43
6.22,5,ECE,79.82,86.03,50.13,6,5,2,0,1228,3,1,1,57.205666666666666,39.266666666666666,4.72
9.87,1,ECE,80.08,83.9,51.65,4,5,0,5,1361,0,1,1,47.31722222222222,53.7,9.569999999999999
6.97,4,IT,97.29,91.55,61.5,6,1,0,1,1351,2,1,1,48.205555555555556,42.699999999999996,5.77
9.46,3,AIML,69.24,69.68,99.36,3,0,1,1,1144,3,1,1,50.67466666666667,42.46666666666667,8.56
8.16,1,CSE,82.16,81.82,90.8,5,1,1,1,1900,3,2,1,54.56222222222221,72.66666666666667,7.86
8.97,5,AIDS,78.2,79.78,63.8,6,1,1,5,1227,1,1,0,52.617777777777775,55.900000000000006,7.470000000000001
