CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,skills,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed
5.1,3,MECH,69.54,66.84,"[{""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Intermediate""}]",24.87,4,5,2,5,1402,3,0,0
9.85,0,ECE,60.0,60.0,"[{""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Advanced""}]",70.38,5,3,2,4,1385,1,2,1
9.16,4,MECH,71.75,79.39,"[{""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Beginner""}]",72.62,1,3,0,4,1072,0,2,1
6.06,3,MECH,93.33,90.73,"[{""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Beginner""}]",79.2,4,0,1,4,1232,3,1,0
5.91,2,ECE,98.23,98.38,"[{""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Beginner""}]",35.5,5,2,1,2,800,1,0,1
5.92,3,CIVIL,77.62,73.07,"[{""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Advanced""}]",70.35,6,5,1,3,1597,0,1,0
6.52,1,CYBER,65.39,64.09,"[{""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Beginner""}]",60.48,5,3,0,4,1172,2,2,1
7.62,1,CSE,73.52,87.77,"[{""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",71.07,6,5,0,3,1778,0,2,1
7.16,2,IT,91.38,87.75,"[{""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Advanced""}, {""skill"": ""sql"", ""level"": ""Intermediate""}]",82.47,2,2,1,5,912,3,0,1
6.46,0,CYBER,74.09,81.33,"[{""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Expert""}]",34.13,3,3,3,2,800,3,0,1
8.06,4,ECE,85.89,85.75,"[{""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Beginner""}, {""skill"": ""git"", ""level"": ""Advanced""}]",84.01,6,5,3,5,1304,2,2,1
5.7,3,CIVIL,81.69,85.09,"[{""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Intermediate""}]",44.61,1,2,1,2,1801,2,2,0
6.46,1,IT,87.1,93.32,"[{""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Beginner""}]",81.72,4,2,3,5,1332,1,0,1
6.83,0,ECE,98.18,99.54,"[{""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Advanced""}]",68.35,0,2,3,1,1014,1,1,1
7.28,2,CSE,85.9,84.14,"[{""skill"": ""c++"", ""level"": ""Beginner""}, {""skill"": ""java"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Expert""}]",59.71,6,0,1,1,1204,3,1,1
8.93,5,IT,81.47,80.54,"[{""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Expert""}]",60.33,0,1,1,4,999,0,0,1
6.0,1,CIVIL,99.28,98.52,"[{""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",73.96,4,5,0,3,1554,2,0,0
7.57,2,ECE,83.5,92.82,"[{""skill"": ""css"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""java"", ""level"": ""Advanced""}]",90.57,3,2,3,5,1611,1,0,1
7.96,3,CYBER,72.07,64.65,"[{""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}]",56.65,5,5,3,2,1666,3,2,1
5.23,4,AIDS,86.87,78.02,"[{""skill"": ""react"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",31.0,4,2,1,0,800,3,1,0
8.04,1,MECH,84.47,75.95,"[{""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",81.57,0,5,2,1,908,3,0,1
5.85,1,CYBER,76.92,72.45,"[{""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}]",27.79,1,3,1,1,969,2,1,1
5.33,3,IT,74.82,78.32,"[{""skill"": ""dsa"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Expert""}]",28.02,3,5,0,5,1285,2,2,0
9.74,5,ECE,77.02,80.82,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Advanced""}]",54.97,4,1,2,0,1482,2,2,1
9.83,0,CYBER,74.68,71.64,"[{""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Beginner""}, {""skill"": ""machine learning"", ""level"": ""Expert""}, {""skill"": ""ai"", ""level"": ""Beginner""}]",68.33,6,3,2,3,1314,0,0,1
9.04,4,ECE,77.34,77.2,"[{""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Expert""}, {""skill"": ""excel"", ""level"": ""Beginner""}]",45.98,2,3,2,3,1374,2,0,0
6.52,1,MECH,71.57,65.99,"[{""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Beginner""}]",21.34,4,2,0,3,1461,3,0,0
5.49,4,CSE,83.86,78.74,"[{""skill"": ""excel"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Expert""}, {""skill"": ""cloud"", ""level"": ""Beginner""}]",32.23,3,4,3,4,825,2,0,0
8.42,1,MECH,83.11,86.01,"[{""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Expert""}]",82.46,1,1,1,4,1752,0,1,1
7.2,4,AIDS,83.45,88.69,"[{""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""ai"", ""level"": ""Beginner""}]",38.07,5,3,0,5,1540,0,0,0
5.61,2,AIDS,79.38,76.99,"[{""skill"": ""html"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Expert""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""dsa"", ""level"": ""Advanced""}]",48.75,6,4,0,0,978,3,1,1
7.48,1,CYBER,78.22,86.4,"[{""skill"": ""dsa"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Advanced""}]",99.88,5,4,2,5,1115,1,2,1
5.17,4,CYBER,94.42,99.25,"[{""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",52.38,3,3,2,2,1389,2,2,0
9.55,0,MECH,80.67,88.63,"[{""skill"": ""css"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",82.08,2,2,0,0,1908,2,1,1
6.29,2,MECH,92.64,91.13,"[{""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Advanced""}]",40.05,5,0,3,2,847,0,1,0
8.31,2,CSE,70.04,77.64,"[{""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""docker"", ""level"": ""Intermediate""}]",100.0,5,3,2,0,1976,0,0,1
6.56,0,ECE,85.89,96.79,"[{""skill"": ""react"", ""level"": ""Expert""}, {""skill"": ""testing"", ""level"": ""Expert""}, {""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}]",49.47,1,2,0,4,859,1,0,1
7.6,4,ECE,72.65,70.59,"[{""skill"": ""management"", ""level"": ""Expert""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""node"", ""level"": ""Expert""}]",60.94,1,1,2,3,1139,0,0,0
7.73,3,AIML,74.44,73.67,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}]",92.51,6,2,1,1,1024,0,2,1
5.92,0,ECE,75.88,71.14,"[{""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}]",53.49,5,4,1,0,1297,0,1,1
9.85,4,MECH,75.25,69.53,"[{""skill"": ""html"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Advanced""}]",77.7,3,1,1,0,1329,0,1,1
8.88,0,MECH,75.3,69.64,"[{""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""java"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",66.24,6,1,2,1,1246,1,1,1
9.7,0,CIVIL,92.17,88.12,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""node"", ""level"": ""Expert""}]",70.49,4,0,2,0,1064,2,1,1
9.47,1,CYBER,80.45,81.83,"[{""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",82.28,3,0,3,3,1183,2,0,1
7.99,4,IT,82.25,78.4,"[{""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",78.51,1,3,1,5,1273,2,0,0
9.61,3,MECH,75.43,76.65,"[{""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""node"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Beginner""}, {""skill"": ""css"", ""level"": ""Expert""}]",62.68,1,2,3,1,1135,2,1,0
5.44,1,AIDS,88.57,89.89,"[{""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Expert""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",39.39,1,3,0,1,1084,2,0,1
5.98,0,ECE,83.55,81.2,"[{""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Expert""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}]",45.22,0,0,0,3,800,3,2,1
5.23,5,IT,76.91,76.6,"[{""skill"": ""cloud"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Beginner""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}]",25.61,6,4,1,3,800,3,0,1
6.63,0,CIVIL,64.16,61.52,"[{""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Advanced""}]",28.82,6,0,3,1,1148,0,2,1
6.94,0,AIDS,82.16,80.61,"[{""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Advanced""}]",68.16,6,2,2,3,1355,3,2,1
6.36,4,CSE,85.76,81.71,"[{""skill"": ""java"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Beginner""}]",78.06,3,4,3,5,1361,2,1,1
9.14,4,CYBER,70.21,70.63,"[{""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Expert""}]",90.64,2,3,0,3,1512,0,1,1
6.78,1,AIDS,77.05,74.04,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Beginner""}, {""skill"": ""cybersecurity"", ""level"": ""Expert""}]",13.78,1,3,3,5,833,2,0,1
6.4,3,ECE,85.37,79.54,"[{""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Advanced""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Advanced""}]",54.62,3,0,0,3,1068,2,1,0
7.71,1,AIML,64.29,67.26,"[{""skill"": ""figma"", ""level"": ""Beginner""}, {""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}]",44.03,1,0,0,1,977,0,2,1
5.7,2,CYBER,73.51,76.65,"[{""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""excel"", ""level"": ""Expert""}]",58.9,3,5,3,0,800,2,2,0
9.01,0,CYBER,83.77,89.33,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""java"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Intermediate""}]",64.2,2,3,2,2,1393,3,0,1
5.37,5,CYBER,91.05,85.93,"[{""skill"": ""sql"", ""level"": ""Beginner""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Advanced""}]",66.2,4,3,0,1,1467,0,2,1
9.93,0,CSE,100.0,97.6,"[{""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Beginner""}]",76.79,1,1,3,2,1564,1,1,1
8.86,0,IT,99.59,100.0,"[{""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Expert""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",33.89,5,2,0,3,976,1,0,0
5.99,1,ECE,81.44,78.93,"[{""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Beginner""}]",38.13,0,1,1,3,875,1,0,1
5.03,5,IT,75.16,78.01,"[{""skill"": ""testing"", ""level"": ""Expert""}, {""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Intermediate""}]",52.75,1,1,2,0,1023,2,0,0
9.08,5,ECE,89.23,91.72,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Expert""}, {""skill"": ""figma"", ""level"": ""Expert""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}]",74.69,1,3,1,3,1119,2,1,0
8.53,5,AIDS,74.56,76.96,"[{""skill"": ""teamwork"", ""level"": ""Expert""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Beginner""}]",42.06,2,5,0,2,800,2,2,1
8.65,1,AIDS,72.38,79.68,"[{""skill"": ""react"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Intermediate""}]",40.0,5,2,2,1,1189,2,1,1
8.86,0,CIVIL,76.95,80.17,"[{""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Advanced""}]",72.91,6,3,3,1,1518,0,0,1
5.37,1,AIDS,75.69,76.46,"[{""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Beginner""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Expert""}]",26.28,4,1,3,5,1096,1,2,1
6.79,4,CYBER,84.13,83.16,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}]",28.09,1,1,2,0,1047,3,0,0
5.58,4,ECE,73.98,73.36,"[{""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Advanced""}]",46.49,5,3,1,2,944,0,1,0
9.32,1,IT,80.85,75.53,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""devops"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}]",64.31,0,0,1,3,1450,1,0,1
8.12,5,MECH,95.95,87.12,"[{""skill"": ""communication"", ""level"": ""Expert""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Intermediate""}]",50.51,6,0,2,4,1126,1,1,1
6.65,0,CYBER,81.22,83.54,"[{""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Beginner""}]",46.7,5,3,3,0,800,0,0,1
5.32,1,ECE,95.17,100.0,"[{""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Expert""}, {""skill"": ""data science"", ""level"": ""Intermediate""}]",54.37,3,4,2,0,1569,0,0,1
6.55,1,CIVIL,92.02,90.37,"[{""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Expert""}]",45.87,5,4,1,4,1323,0,0,1
6.63,1,CSE,85.92,93.86,"[{""skill"": ""react"", ""level"": ""Expert""}, {""skill"": ""node"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}]",62.04,0,0,0,1,1707,3,1,1
8.65,2,CYBER,76.46,75.58,"[{""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Beginner""}, {""skill"": ""python"", ""level"": ""Intermediate""}]",63.13,6,2,3,5,1564,1,1,1
8.19,4,AIDS,90.41,80.64,"[{""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""testing"", ""level"": ""Beginner""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",71.79,2,5,2,1,1072,3,1,1
